Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
51794301,Beyond the Gender Binary,Alok Vaid-Menon,"Vaid-Menon, Alok",Ashley Lukashevsky,"=""0593094654""","=""9780593094655""",0,4.49,Penguin Workshop,Paperback,64,2020,2020,,2023/05/11,to-read,to-read (#32),to-read,,,,0,0
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"Achebe, Chinua",,"=""""","=""""",3,3.74,Anchor Books,Paperback,215,1994,1958,,2023/02/07,,,read,,,,2,0
60454890,"""Colonisation in Reverse""",Louise Bennett,"Bennett, Louise",,"=""""","=""""",4,4.50,,,,1966,,2023/05/09,2023/04/30,,,read,Poema escrito en Jamaican English<br/>no niego que no lo he entendido muy bien,,,1,0
231558,Our Sister Killjoy,Ama Ata Aidoo,"Aidoo, Ama Ata",,"=""0582308453""","=""9780582308459""",4,3.88,Longman,Paperback,134,1994,1977,2023/05/09,2023/04/30,,,read,,,,1,0
318742,The Souls of Black Folk,W.E.B. Du Bois,"Bois, W.E.B. Du","Donald B. Gibson, Monica W. Elbert","=""""","=""""",5,4.30,Penguin Classics,Paperback,288,1996,1903,2023/05/09,2023/04/30,,,read,"Me he pasado todo el libro con los pelos de punta.<br/>Y como he hecho ahora una tradición de poner quotes aquí va<br/>La concienciacion del racismo que hay en la sociedad y la importancia de leer obras como estas!! Mandatory<br/>""He felt his poverty; without a cent, without a home, without land, tools, or savings, he had entered into competition with rich, landed, skilled neighbours. To be a poor man is hard, but to be a poor race in a land of dollars is the very bottom of hardships""",,,1,0
58465797,Sexy But Psycho: How the Patriarchy Uses Women’s Trauma Against Them,Jessica   Taylor,"Taylor, Jessica",,"=""1472135490""","=""9781472135490""",5,3.84,Constable,Hardcover,368,2022,2022,2023/05/07,2023/05/05,,,read,"Creo que realmente es un libro que toda persona debería de leerse. Como en todos lados el patriarcado se encuentra también en la psicología. Me gusta mucho su approach de, vivimos en una sociedad que nos oprime, es normal que nuestro cuerpo y nuestra mente tenga una repuesta a esto. <br/>Highlighted quotes<br/>""Sex has always been for men. Pleasure has always been for men. Reproduction has always been for men. Women's bodies have always been for men"".<br/>""Women and girls exist in an environment which causes them serious harm"".<br/>....",,,1,0
75009603,The English Passengers,Matthew Kneale,"Kneale, Matthew",,"=""""","=""""",3,4.07,Nan A. Talese/Doubleday,Paperback,0,2000,2000,2023/05/06,2023/04/30,,,read,Cute que describió por el amor a las piedras que la biblia es una falsedad<br/>What a surprise girlie!!,,,1,0
20003795,The Conversations At Curlew Creek,David Malouf,"Malouf, David",,"=""""","=""""",3,3.63,Vintage Digital,Kindle Edition,242,2012,1996,2023/05/06,2023/04/30,,,read,meh osea bien<br/>Historia de Australia y tal,,,1,0
1330324,"Sea of Poppies (Ibis Trilogy, #1)",Amitav Ghosh,"Ghosh, Amitav",,"=""071956896X""","=""9780719568961""",5,3.97,John Murray Publisher,Paperback,513,2008,2008,2023/05/03,2023/04/30,,,read,"Uno de los mejores libros que me he leído en este año creo. Temas de post-memory, trauma, eco-colonialization, deterritorialization...<br/>Mis dieses",,,1,0
31119624,In Praise of Women's Bodies (Singles Classic),Gloria Steinem,"Steinem, Gloria",,"=""""","=""""",2,4.13,,Kindle Edition,9,2016,1982,2023/05/03,2023/05/03,,,read,,,,1,0
